id; click_on
0;no
1;no
2;yes
3;yes
4;no
5;yes
6;no
7;yes
8;no
9;no
10;yes
11;yes
12;no
13;no
14;yes
15;yes
16;yes
17;no
18;no
19;yes
20;no
21;no
22;no
23;no
24;yes
25;no
26;no
27;no
28;no
29;no
30;no
31;no
32;no
33;yes
34;yes
35;yes
36;no
37;yes
38;yes
39;no
40;yes
41;no
42;no
43;no
44;no
45;yes
46;no
47;no
48;no
49;yes
50;yes
51;yes
52;no
53;no
54;no
55;yes
56;no
57;no
58;no
59;no
60;no
61;no
62;yes
63;yes
64;yes
65;no
66;no
67;no
68;no
69;yes
70;yes
71;yes
72;no
73;yes
74;no
75;no
76;no
77;no
78;no
79;no
80;no
81;no
82;no
83;no
84;yes
85;no
86;yes
87;yes
88;no
89;no
90;yes
91;yes
92;yes
93;no
94;no
95;yes
96;yes
97;no
98;yes
99;yes
100;yes
101;no
102;yes
103;no
104;no
105;no
106;yes
107;no
108;no
109;no
110;no
111;no
112;yes
113;yes
114;yes
115;yes
116;no
117;no
118;yes
119;no
120;no
121;no
122;no
123;no
124;no
125;no
126;yes
127;no
128;yes
129;yes
130;no
131;yes
132;yes
133;yes
134;yes
135;yes
136;yes
137;no
138;no
139;no
140;no
141;yes
142;no
143;no
144;no
145;yes
146;yes
147;yes
148;no
149;yes
150;no
151;no
152;no
153;no
154;yes
155;yes
156;no
157;no
158;no
159;no
160;yes
161;no
162;no
163;no
164;no
165;yes
166;yes
167;no
168;no
169;no
170;yes
171;yes
172;no
173;yes
174;yes
175;yes
176;no
177;yes
178;yes
179;yes
180;no
181;yes
182;no
183;yes
184;yes
185;no
186;no
187;no
188;no
189;no
190;yes
191;yes
192;no
193;no
194;yes
195;yes
196;no
197;no
198;no
199;no
200;yes
201;no
202;no
203;yes
204;no
205;no
206;no
207;no
208;yes
209;no
210;no
211;no
212;yes
213;no
214;yes
215;no
216;yes
217;yes
218;no
219;yes
220;no
221;no
222;no
223;no
224;no
225;yes
226;no
227;no
228;no
229;no
230;no
231;no
232;yes
233;yes
234;no
235;no
236;no
237;no
238;no
239;no
240;yes
241;yes
242;no
243;yes
244;no
245;no
246;no
247;no
248;yes
249;no
250;no
251;no
252;no
253;no
254;yes
255;yes
256;no
257;yes
258;yes
259;no
260;no
261;no
262;no
263;yes
264;no
265;no
266;no
267;no
268;yes
269;no
270;no
271;yes
272;no
273;yes
274;yes
275;no
276;no
277;yes
278;no
279;yes
280;no
281;no
282;yes
283;no
284;yes
285;no
286;no
287;no
288;no
289;no
290;yes
291;yes
292;no
293;no
294;no
295;no
296;yes
297;no
298;yes
299;no
300;yes
301;no
302;no
303;yes
304;no
305;no
306;yes
307;no
308;no
309;no
310;no
311;no
312;no
313;yes
314;yes
315;no
316;no
317;yes
318;no
319;yes
320;no
321;no
322;no
323;yes
324;no
325;no
326;no
327;yes
328;yes
329;yes
330;no
331;yes
332;no
333;no
334;yes
335;yes
336;no
337;no
338;no
339;no
340;yes
341;no
342;yes
343;no
344;yes
345;no
346;no
347;no
348;yes
349;yes
350;no
351;no
352;yes
353;yes
354;no
355;no
356;no
357;yes
358;yes
359;no
360;yes
361;no
362;no
363;no
364;no
365;yes
366;yes
367;no
368;yes
369;yes
370;yes
371;no
372;no
373;no
374;yes
375;no
376;no
377;no
378;no
379;yes
380;no
381;no
382;no
383;yes
384;no
385;no
386;yes
387;no
388;no
389;no
390;yes
391;yes
392;no
393;no
394;no
395;no
396;no
397;yes
398;no
399;no
400;yes
401;no
402;no
403;yes
404;no
405;no
406;no
407;no
408;no
409;yes
410;yes
411;yes
412;no
413;no
414;yes
415;no
416;yes
417;yes
418;no
419;yes
420;yes
421;yes
422;no
423;no
424;no
425;no
426;no
427;no
428;no
429;yes
430;no
431;no
432;no
433;no
434;yes
435;yes
436;no
437;no
438;no
439;no
440;yes
441;no
442;no
443;yes
444;yes
445;no
446;yes
447;no
448;no
449;yes
450;no
451;no
452;yes
453;no
454;yes
455;no
456;no
457;no
458;yes
459;no
460;no
461;yes
462;yes
463;no
464;no
465;no
466;yes
467;no
468;no
469;yes
470;yes
471;no
472;yes
473;yes
474;no
475;no
476;no
477;no
478;yes
479;yes
480;no
481;yes
482;yes
483;no
484;no
485;no
486;yes
487;no
488;no
489;yes
490;yes
491;yes
492;yes
493;no
494;no
495;yes
496;no
497;yes
498;no
499;yes
500;no
501;no
502;yes
503;no
504;yes
505;yes
506;yes
507;no
508;yes
509;yes
510;yes
511;no
512;no
513;yes
514;yes
515;yes
516;no
517;no
518;no
519;no
520;no
521;no
522;no
523;yes
524;no
525;no
526;no
527;yes
528;no
529;no
530;no
531;yes
532;yes
533;no
534;no
535;no
536;yes
537;no
538;no
539;no
540;no
541;yes
542;no
543;no
544;yes
545;no
546;no
547;yes
548;yes
549;yes
550;no
551;no
552;no
553;yes
554;no
555;yes
556;no
557;yes
558;yes
559;no
560;no
561;no
562;no
563;no
564;no
565;yes
566;yes
567;no
568;yes
569;yes
570;yes
571;no
572;yes
573;no
574;no
575;no
576;no
577;yes
578;no
579;yes
580;yes
581;no
582;yes
583;no
584;yes
585;yes
586;no
587;no
588;yes
589;no
590;no
591;yes
592;yes
593;yes
594;yes
595;no
596;no
597;no
598;yes
599;no
600;no
601;yes
602;no
603;no
604;no
605;yes
606;no
607;yes
608;no
609;no
610;no
611;yes
612;yes
613;no
614;no
615;no
616;yes
617;yes
618;no
619;yes
620;yes
621;no
622;no
623;yes
624;yes
625;yes
626;no
627;yes
628;no
629;no
630;no
631;no
632;no
633;yes
634;yes
635;no
636;no
637;yes
638;no
639;yes
640;no
641;no
642;no
643;no
644;no
645;yes
646;no
647;no
648;yes
649;no
650;yes
651;no
652;yes
653;yes
654;no
655;no
656;no
657;no
658;yes
659;no
660;no
661;no
662;no
663;yes
664;no
665;no
666;no
667;yes
668;no
669;no
670;no
671;no
672;no
673;no
674;no
675;no
676;yes
677;no
678;no
679;no
680;yes
681;no
682;no
683;no
684;no
685;no
686;no
687;no
688;no
689;no
690;no
691;no
692;no
693;yes
694;no
695;no
696;no
697;no
698;no
699;no
700;yes
701;yes
702;no
703;yes
704;yes
705;no
706;no
707;no
708;no
709;yes
710;yes
711;yes
712;no
713;yes
714;yes
715;yes
716;yes
717;no
718;yes
719;yes
720;yes
721;no
722;yes
723;no
724;yes
725;yes
726;no
727;yes
728;yes
729;no
730;no
731;no
732;no
733;yes
734;no
735;yes
736;no
737;no
738;yes
739;yes
740;yes
741;yes
742;no
743;yes
744;yes
745;no
746;no
747;no
748;yes
749;yes
750;no
751;no
752;no
753;no
754;yes
755;no
756;no
757;no
758;no
759;no
760;yes
761;no
762;no
763;no
764;no
765;no
766;yes
767;no
768;no
769;yes
770;yes
771;yes
772;no
773;yes
774;no
775;no
776;no
777;no
778;no
779;no
780;no
781;no
782;no
783;yes
784;no
785;yes
786;no
787;no
788;no
789;yes
790;no
791;yes
792;no
793;no
794;no
795;no
796;yes
797;yes
798;no
799;no
800;no
801;no
802;yes
803;yes
804;no
805;yes
806;no
807;no
808;yes
809;no
810;yes
811;yes
812;yes
813;no
814;no
815;no
816;yes
817;no
818;yes
819;yes
820;yes
821;no
822;yes
823;no
824;no
825;yes
826;yes
827;no
828;no
829;yes
830;no
831;yes
832;no
833;no
834;no
835;no
836;no
837;yes
838;yes
839;yes
840;yes
841;yes
842;yes
843;no
844;no
845;no
846;yes
847;yes
848;no
849;yes
850;no
851;yes
852;no
853;yes
854;no
855;yes
856;no
857;yes
858;no
859;no
860;yes
861;no
862;yes
863;no
864;no
865;no
866;no
867;yes
868;yes
869;no
870;no
871;yes
872;yes
873;no
874;no
875;no
876;no
877;no
878;no
879;yes
880;no
881;no
882;no
883;no
884;yes
885;no
886;no
887;no
888;yes
889;no
890;no
891;no
892;no
893;yes
894;yes
895;yes
896;yes
897;no
898;no
899;no
900;no
901;no
902;no
903;yes
904;yes
905;no
906;no
907;no
908;yes
909;yes
910;no
911;yes
912;no
913;yes
914;no
915;no
916;no
917;yes
918;yes
919;no
920;yes
921;no
922;no
923;no
924;no
925;no
926;no
927;no
928;yes
929;yes
930;no
931;yes
932;no
933;yes
934;yes
935;yes
936;yes
937;no
938;no
939;yes
940;yes
941;no
942;yes
943;no
944;no
945;no
946;yes
947;no
948;no
949;no
950;yes
951;yes
952;no
953;yes
954;no
955;no
956;no
957;no
958;no
959;no
960;no
961;yes
962;no
963;no
964;yes
965;no
966;no
967;yes
968;no
969;no
970;no
971;no
972;no
973;yes
974;yes
975;yes
976;yes
977;no
978;no
979;no
980;no
981;no
982;no
983;yes
984;yes
985;yes
986;yes
